"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Congo, Dem. Rep.","COD","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.66489","0.79528","0.837","0.93762","1.04615","1.20071","1.20256","1.23556","1.25424","1.14168","1.18122","1.3698","1.28996","1.47204","1.44231","1.4815","1.61428","1.81275","2.04731","2.15049","2.50274","","","","2.51231","","","","1.45589","","","","","","","4.49342","4.52037","5.68827","6.74201","","8.13955","8.26458","6.93433","","","6.60334","","","",
"Congo, Rep.","COG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","1.57278","1.2636","1.72887","2.04779","2.31802","2.42399","2.74341","3.21445","3.72304","4.52204","4.62503","5.46743","5.59903","5.69785","5.73856","5.65411","5.61604","5.92629","4.89491","4.80439","4.71373","5.13014","5.67186","","","","","","3.57831","5.07898","4.253","3.7782","3.7622","","","","","","6.25566","","8.72515","10.00407","9.31913","","","","12.66688","","",
"Colombia","COL","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","4.24705","4.72131","5.32317","5.72088","6.24666","7.11062","7.52815","8.53539","8.81997","9.01662","8.85468","10.13028","10.47474","10.92078","11.46858","11.75689","12.48498","12.97144","13.67795","14.23343","14.65401","15.34537","15.98506","16.15123","16.7002","16.66974","17.91042","21.10671","23.67216","23.29743","24.492","25.34747","25.43061","","28.13663","30.69216","32.69948","33.74994","36.07695","37.51899","39.41332","43.03231","45.3073","48.73311","51.41638","53.28214","55.48425","56.43403","55.32749","",
"Comoros","COM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6901","","0.60753","0.60698","","","0.84345","","","1.37175","1.45456","","","3.1002","","","","4.13892","","5.89785","5.78296","8.00801","8.68938","8.75743","8.99478","","","","","",
"Cabo Verde","CPV","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.75304","2.01489","1.71254","4.07566","4.73109","6.18607","7.6257","8.54635","9.70494","12.04436","15.15341","18.00976","20.71314","20.59732","22.94644","23.97116","23.06306","24.00533","24.3977","23.61651","",
"Costa Rica","CRI","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","8.74957","9.66464","10.37571","11.41809","","","","","20.51036","20.77428","20.14137","20.83317","20.46287","20.22411","20.6335","21.91722","23.0394","25.02281","25.07346","26.75173","27.01996","29.08211","31.52627","","","","","","","","","","","","26.6577","","","","","","","45.81894","48.10857","49.00672","52.23117","53.05263","53.6387","55.74574","55.20794","",
"Caribbean small states","CSS","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","4.56395","4.54058","4.78766","5.02126","5.1261","5.3993","6.06579","6.29424","6.2681","6.21644","6.11372","6.0732","6.20273","5.7415","5.72414","5.90245","6.10901","6.39709","6.65976","7.00482","7.55637","8.50531","8.77154","9.09935","9.51909","9.7011","10.11696","10.52107","10.60615","10.73599","13.22543","14.27671","15.34561","16.33421","17.64415","17.13457","17.19416","18.41227","19.93644","20.45641","21.87248","21.74023","23.08345","22.68421","22.91996","22.95009","23.06284","","","",
"Cuba","CUB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","3.58867","4.88127","6.29044","7.05397","8.63724","10.56582","13.99692","16.30525","17.03831","17.5122","16.58083","16.3855","15.92326","16.94082","18.18536","20.07445","22.16532","22.90699","21.98495","21.28325","21.22561","19.6763","17.61053","16.14382","13.57767","12.70767","12.64604","12.9338","20.33568","22.03744","25.22223","27.03583","32.79891","53.83247","62.19304","86.64419","105.4806","117.10081","114.0977","94.85229","80.91815","63.8295","49.26814","40.96097","36.1142","34.03981","39.91314","41.37902","",
"Curacao","CUW","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.42857","","","","","","",
"Cayman Islands","CYM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
