"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9360","9300","8980","9190","9520","9820","10320","11010","11500","11600","12310","12180","12390","12810","13400","14140","15120","16140","16310","15680","15730","15250","14740","14700","14540","14810","15220","15080","15320","15730",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55910","57950","60350","60250","61770","64190","65590","64190","63100","64530","66440","68350","70720","72760","73810","75210","79770","81430","80340","78680","79690","81680","86130","82860","81300","65690","60420","64620","62200","66410",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410","1410","1460","1550","1720","1770","1900","2060","2010","2090","2690","2920","3180","3400","3640","4000","4390","5230","5450","5730","6310","6830","7280","7430","8050","8820","9560","10170","10570","",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5520","6220","6440","6830","6240","6970","7000","7720","8090","8190","8250","8610","8150","8860","9060","9830","10850","11920","12630","12080","12680","13940","13390","14070","15830","15060","15860","15980","16680","17110",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630","630","590","580","600","640","610","640","660","690","660","700","720","680","720","740","780","830","840","910","960","1020","1110","750","730","800","860","960","1030","1060",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19500","19550","19880","20700","21820","22670","23240","24470","25430","26900","28590","29360","30180","31540","33180","35580","37500","38970","39780","38220","39320","40880","41540","43620","45010","43990","45910","48070","49430","50810",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6528.62557579555","6838.33046348508","7299.21355130325","7873.44233190057","8276.25156711606","8562.43603341317","8947.14961453657","9229.69341114764","9854.56823105476","10629.4261990714","11422.54225377","12014.0489624977","12976.0662362283","13893.2979333832","15343.9977774861","16968.2654238657","18990.2431845809","19118.9557748189","20063.3888374012","21360.4259818452","22246.7082613252","23302.8106850875","24247.8866216672","25220.0053951139","26781.2903351157","28900.6753642133","30710.4630650502","33022.976464194",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28170","28530","28760","29270","29790","30620","31340","33210","34510","35710","38140","38240","38720","40190","41600","43980","48460","50050","49150","52790","56230","56830","59140","61380","62170","65450","66080","67890","70130","72390",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4270","4700","5390","5910","6270","7070","7750","8370","8790","8720","9220","9640","9930","10180","10840","11640","13840","15050","15220","15060","16880","19110","20490","21300","21910","22000","22000","22690","23700","24140",
